latitude,longitude,brightness,acq_date,acq_time,confidence,bright_t31,frp,daynight,precipitation,solar_radiation,max_temp,min_temp,vapor_pressure
30.0474,-104.1354,300.8,2011-04-27,432,34,290.1,18.6,N,0.0,480.81,26.98,10.96,480.74
42.1683,-123.3059,304.0,2020-11-26,543,58,273.5,27.9,N,,,,,
40.74534,-123.28825,337.8,2021-08-02,2055,57,293.27,60.97,D,,,,,
38.5965,-82.8226,311.5,2019-09-08,1634,47,297.4,7.2,D,,,,,
30.6021,-84.51299999999998,322.9,2019-06-24,1612,72,300.0,19.3,D,,,,,
42.5909,-120.701,370.2,2018-08-24,551,100,288.5,140.6,N,,,,,
40.2736,-120.8,333.4,2020-08-23,1825,70,299.7,89.7,D,,,,,
47.8428,-99.6343,320.6,2012-08-23,1930,55,307.5,10.3,D,,,,,
48.60634,-115.90826,314.12,2021-07-31,958,86,293.49,11.47,N,,,,,
48.788,-99.078,338.2,2021-06-02,1800,86,309.0,36.9,D,,,,,
30.9807,-82.77799999999998,322.4,2018-07-10,1818,75,300.1,40.1,D,,,,,
36.51976,-118.80515,366.21,2021-09-22,2123,100,306.71,153.02,D,,,,,
33.3165,-88.2956,318.6,2019-09-12,1926,50,300.1,15.9,D,,,,,
31.3478,-95.3145,304.8,2016-12-01,1919,37,289.9,8.7,D,,,,,
36.1593,-91.9155,327.8,2020-04-11,1902,76,296.1,32.8,D,,,,,
36.2362,-91.41,315.6,2017-03-09,1908,69,300.5,7.9,D,,,,,
42.5963,-92.1313,309.2,2019-04-09,1723,57,292.3,7.7,D,,,,,
66.3374,-143.9677,342.7,2019-07-09,2032,0,285.8,169.2,D,,,,,
26.5721,-80.4734,305.8,2019-12-04,1816,34,295.6,9.9,D,,,,,
43.4409,-86.0954,305.1,2021-04-30,1904,52,290.5,7.1,D,,,,,
37.1616,-119.3218,306.3,2020-10-25,2100,51,292.1,6.3,D,,,,,
30.3574,-83.1425,319.5,2014-03-14,1836,78,298.8,17.9,D,,,,,
38.1918,-96.3071,362.0,2015-04-10,1928,100,309.4,85.6,D,,,,,
26.3362,-80.4262,320.6,2015-07-03,342,100,294.3,18.1,N,,,,,
36.54666,-118.79265,340.69,2021-09-22,601,100,297.19,45.6,N,,,,,
42.4183,-123.8764,306.6,2018-08-06,1014,28,288.2,8.2,N,,,,,
39.0265,-122.5751,303.2,2012-08-13,925,47,291.6,30.3,N,,,,,
33.8718,-101.5813,305.7,2018-01-12,1927,62,286.5,23.2,D,,,,,
34.3004,-95.8446,309.6,2018-03-21,1903,66,290.8,25.6,D,,,,,
31.2907,-84.4296,304.3,2017-01-31,1713,58,290.5,38.9,D,,,,,
30.6441,-83.7913,309.9,2017-03-17,1643,63,294.0,11.7,D,,,,,
60.1017,-156.612,333.2,2019-08-25,2113,65,294.6,62.0,D,,,,,
41.0732,-93.8352,313.5,2017-02-03,1922,74,277.8,15.7,D,,,,,
48.122,-118.856,312.0,2021-07-14,1050,15,291.2,45.1,N,,,,,
26.5945,-80.6905,376.3,2013-10-26,1853,100,303.4,174.0,D,,,,,
35.526,-90.9779,303.7,2017-02-25,1844,57,287.3,15.3,D,,,,,
40.843,-97.794,316.0,2021-06-01,1720,48,300.5,4.8,D,,,,,
48.1077,-98.1392,315.0,2017-10-08,1746,75,288.4,13.3,D,,,,,
45.0725,-117.3875,330.6,2015-08-27,533,100,286.5,37.2,N,,,,,
35.777,-96.2309,316.2,2014-04-05,1940,66,302.5,7.8,D,,,,,
